ReviewID,CustomerID,ProductID,ReviewText,Rating,ReviewDate,VADER_Compound,Hybrid_Score,Sentiment_Label,Themes
136,1060,3,very happy with this purchase,4,2023-05-05,0.612,0.772,Positive,General
137,1294,16,exactly what i needed for training,5,2023-10-08,0.0,0.8,Positive,General
138,1093,13,great value for the price,5,2024-05-10,0.758,0.952,Positive,Price
139,1065,4,arrived late and packaging was damaged,1,2023-11-30,-0.44,0.112,Negative,Shipping/Delivery
140,1011,13,will buy again,5,2024-07-23,0.0,0.8,Positive,General
141,1300,4,exactly what i needed for training,5,2023-08-01,0.0,0.8,Positive,General
142,1093,1,comfortable and well made,4,2024-07-22,0.66,0.782,Positive,General
143,1066,7,does the job but description was misleading,3,2024-10-30,-0.55,0.39,Negative,Quality
144,1018,3,comfortable and well made,4,2023-05-08,0.66,0.782,Positive,General
145,1088,14,too expensive for what you get,1,2024-11-04,0.0,0.2,Negative,Price
146,1266,10,quality is top notch,4,2024-11-05,0.202,0.69,Positive,Quality
147,1161,17,very happy with this purchase,4,2023-12-27,0.612,0.772,Positive,General
148,1023,8,does the job but description was misleading,3,2023-02-07,-0.55,0.39,Negative,Quality
149,1111,5,comfortable and well made,4,2024-09-08,0.66,0.782,Positive,General
150,1217,3,decent but not as expected,3,2024-07-17,0.0,0.5,Neutral,Quality
151,1084,13,too expensive for what you get,2,2024-04-12,0.0,0.35,Negative,Price
152,1074,7,exceeded my expectations,4,2023-03-14,0.0,0.65,Positive,General
153,1099,12,quality is top notch,4,2024-07-31,0.202,0.69,Positive,Quality
154,1079,11,very happy with this purchase,4,2024-03-20,0.612,0.772,Positive,General
155,1064,4,exactly what i needed for training,4,2024-12-01,0.0,0.65,Positive,General
156,1046,12,quality is top notch,5,2023-12-08,0.202,0.84,Positive,Quality
157,1116,9,expected better performance,2,2023-01-11,0.44,0.438,Neutral,Quality
158,1054,4,exceeded my expectations,4,2023-06-29,0.0,0.65,Positive,General
159,1251,4,does the job but description was misleading,3,2024-06-25,-0.55,0.39,Negative,Quality
160,1051,2,decent but not as expected,3,2023-06-24,0.0,0.5,Neutral,Quality
161,1273,13,exceeded my expectations,4,2024-05-03,0.0,0.65,Positive,General
162,1263,5,sizing was way off from the description,2,2024-11-04,0.0,0.35,Negative,Quality
163,1137,2,very happy with this purchase,5,2024-10-16,0.612,0.922,Positive,General
164,1215,15,comfortable and well made,4,2023-07-07,0.66,0.782,Positive,General
165,1258,10,very happy with this purchase,5,2023-10-10,0.612,0.922,Positive,General
166,1045,10,exactly what i needed for training,5,2024-02-21,0.0,0.8,Positive,General
167,1040,8,good product but delivery took forever,3,2023-04-06,0.238,0.548,Neutral,Shipping/Delivery
168,1147,16,great value for the price,5,2023-01-11,0.758,0.952,Positive,Price
169,1070,16,exactly what i needed for training,4,2024-05-24,0.0,0.65,Positive,General
170,1098,1,comfortable and well made,5,2024-03-11,0.66,0.932,Positive,General
171,1271,2,quality is top notch,4,2024-09-13,0.202,0.69,Positive,Quality
172,1269,8,arrived late and packaging was damaged,1,2023-06-29,-0.44,0.112,Negative,Shipping/Delivery
